# x_m,y_m,w_tr_right_m,w_tr_left_m
8.6493,-4.0002,1.5000,1.5000
8.6993,-4.0002,1.5008,1.5008
8.7493,-4.0002,1.5033,1.5033
8.7993,-4.0002,1.5075,1.5075
8.8493,-4.0002,1.5133,1.5133
8.8993,-3.9502,1.4714,1.4714
8.9493,-3.9502,1.4807,1.4807
8.9993,-3.9502,1.4916,1.4916
9.0493,-3.9502,1.5033,1.5033
9.0993,-3.9502,1.5075,1.5075
9.1493,-3.9502,1.5133,1.5133
9.1993,-3.9002,1.4714,1.4714
9.2493,-3.9002,1.4807,1.4807
9.2993,-3.9002,1.4916,1.4916
9.3493,-3.9002,1.5042,1.5042
9.3993,-3.9002,1.5182,1.5182
9.4493,-3.9002,1.5338,1.5338
9.4993,-3.8502,1.5042,1.5042
9.5493,-3.8502,1.5182,1.5182
9.5993,-3.8502,1.5338,1.5338
9.6493,-3.8502,1.5508,1.5508
9.6993,-3.8502,1.5660,1.5660
9.7493,-3.8002,1.5338,1.5338
9.7993,-3.8002,1.5508,1.5508
9.8493,-3.7502,1.5232,1.5232
9.8993,-3.7502,1.5435,1.5435
9.9493,-3.7502,1.5652,1.5652
9.9993,-3.7502,1.5882,1.5882
10.0493,-3.7502,1.5882,1.5882
10.0993,-3.7002,1.5811,1.5811
10.1493,-3.7002,1.5882,1.5882
10.1993,-3.6502,1.5692,1.5692
10.2493,-3.6502,1.5882,1.5882
10.2993,-3.6502,1.5652,1.5652
10.3493,-3.6002,1.5882,1.5882
10.3993,-3.6002,1.5652,1.5652
10.4493,-3.5502,1.5882,1.5882
10.4993,-3.5502,1.5692,1.5692
10.5493,-3.5002,1.5811,1.5811
10.5993,-3.5002,1.5811,1.5811
10.6493,-3.4502,1.5692,1.5692
10.6993,-3.4502,1.5882,1.5882
10.7493,-3.4002,1.5652,1.5652
10.7993,-3.4002,1.5882,1.5882
10.8493,-3.3502,1.5652,1.5652
10.8993,-3.3502,1.5882,1.5882
10.9493,-3.3002,1.5692,1.5692
10.9993,-3.3002,1.5882,1.5882
11.0493,-3.2502,1.5811,1.5811
